Product Title,Image URL,Category,Collection,Price PKR
New Blue Celico Large Rectangle Serving Dish,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/5A702C9F-CCEB-428A-9518-71281931F12E.jpg?v=1771904420,Plates & Platters,Blue Pattern,65.00
Decorative Plate (Iznik Art with Floral Design),https://cdn.shopify.com/s/files/1/0864/7006/6210/files/64-removebg-preview_e7581c3a-a95c-4941-b5ac-b5a0ef58b766.png?v=1771904419,Plates & Platters,Other Collections,32.00
Decorative Plate (Iznik Art with Flower Design),https://cdn.shopify.com/s/files/1/0864/7006/6210/files/63-removebg-preview_a4f50dfc-e4fd-468a-8b27-84dd880197b6.png?v=1771904419,Plates & Platters,Other Collections,32.00
ecorate Plate (Iznik Art),https://cdn.shopify.com/s/files/1/0864/7006/6210/files/62-removebg-preview_9b41e1c5-6129-4fa2-b30c-5f22cefe13e0.png?v=1771904417,Plates & Platters,Other Collections,29.00
Decorative Plate (Iznik Art in Blue),https://cdn.shopify.com/s/files/1/0864/7006/6210/files/61-removebg-preview_402eca72-f49a-49f8-b60e-b27f69e54b9f.png?v=1771904416,Plates & Platters,Blue Pattern,25.00
Handmade Ceramic Square Plate (MC-1),https://cdn.shopify.com/s/files/1/0864/7006/6210/files/59_7e23cc98-94be-42fd-acba-71eb3bca63fc-removebg-preview.png?v=1771904409,Plates & Platters,Other Collections,44.00
Handmade Ceramic Square Plate (MC-3),https://cdn.shopify.com/s/files/1/0864/7006/6210/files/55-removebg-preview_c3e4c314-0faa-4a3a-9773-bcfae9c31010.png?v=1771904408,Plates & Platters,Other Collections,40.00
Handmade Floral Petals Dinner Plate (MC),https://cdn.shopify.com/s/files/1/0864/7006/6210/files/49_06acf6e6-2f9d-4dd4-96aa-ed90c968d0f8-removebg-preview.png?v=1771904407,Plates & Platters,Other Collections,30.00
Handmade Ceramic Floral Dinner Plate (MC-10),https://cdn.shopify.com/s/files/1/0864/7006/6210/files/64_0d87a30a-ce23-48b3-819d-b17186f9c9dc-removebg-preview.png?v=1771904405,Plates & Platters,Other Collections,38.00
Pizza Plate (Large),https://cdn.shopify.com/s/files/1/0864/7006/6210/files/1_0038_tevtashahdraprodcuts0422-removebg-preview.png?v=1771904402,Plates & Platters,Other Collections,42.00
Handcrafted Decorative Plate (04 Compartments),https://cdn.shopify.com/s/files/1/0864/7006/6210/files/1_6b224590-a315-426c-814d-fddee5cfdf29-removebg-preview.png?v=1771904401,Plates & Platters,Other Collections,50.00
Set of Three White Floral Round Serving dish|Blue pottery,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/rn-image_picker_lib_temp_b7b88e6a-11b9-461f-b608-26f18d602627-removebg-preview.png?v=1771904376,Plates & Platters,Blue Pattern,65.00
White Floral Large Round Platter/ Pizza Plate|Blue pottery,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/rn-image_picker_lib_temp_ad2ce38e-b85e-4dfd-9eb3-f12690dfe932-removebg-preview.png?v=1771904365,Plates & Platters,Blue Pattern,40.00
Rice Plater Dish,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/22d.png?v=1771904364,Plates & Platters,Other Collections,50.00
White Floral Rice Dish|Blue pottery,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/rn-image_picker_lib_temp_95639109-b13f-4d65-904c-f058844679d8-removebg-preview.png?v=1771904357,Plates & Platters,Blue Pattern,48.00
Floral White Dinner Plate| 10 inches| Single Plate,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/rn-image_picker_lib_temp_c39cc731-eaeb-452f-84f4-7e13d2c8f285-removebg-preview.png?v=1771904357,Plates & Platters,Other Collections,28.00
Ayat Plate,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/11y.png?v=1771904347,Plates & Platters,Other Collections,30.00
Floral White Dinner Plate| 10 inches|Set of 6,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/rn-image_picker_lib_temp_6574f4ac-fb11-4380-9270-7548098c1a63-removebg-preview.png?v=1771904346,Plates & Platters,Other Collections,85.00
Set of two Iconic Blue Square Serving dish|Blue pottery,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/rn-image_picker_lib_temp_a62a01ef-e33f-4075-ba06-d8e3a3bc86b6_200x200-removebg-preview.png?v=1771904329,Plates & Platters,Blue Pattern,44.68
Iconic Blue Medium Round Platter/ Pizza Plate|Blue pottery,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/IMG-2024_06_25_210243-removebg-preview.png?v=1771904327,Plates & Platters,Blue Pattern,50.00
Iconic Blue Dinner Plate| 10 inches|Single plate,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/rn-image_picker_lib_temp_0d01a191-6d3f-455b-a9b8-b91f8c510504-removebg-preview.png?v=1771904323,Plates & Platters,Blue Pattern,32.00
Set of Three Iconic Blue Platter/Serving dish|Blue pottery,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/rn-image_picker_lib_temp_de49939f-8cc6-4cda-9b94-c187f38fb479-removebg-preview.png?v=1771904321,Plates & Platters,Blue Pattern,65.00
Traditional Wall Decor Plates Set,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/Best-Wall-Hanging-Plate-removebg-preview_1.png?v=1771904316,Plates & Platters,Other Collections,106.12
Plate,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/52-removebg-preview.png?v=1771904254,Plates & Platters,Other Collections,23.00
Marbal Plate,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/18-removebg-preview.png?v=1771904218,Plates & Platters,Other Collections,40.00
Plate,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/4-removebg-preview.png?v=1771904203,Plates & Platters,Other Collections,22.00
plate,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/gf5tiGMKfixufUAlPYO99XK9jao7wG8f7rRrVoLr-removebg-preview.png?v=1771904187,Plates & Platters,Other Collections,28.00
Wall Plate,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/RaYhDpcgvUab0AVXTcM3RQBUQstf0sPxbzMqWyWj-removebg-preview.png?v=1771904161,Plates & Platters,Other Collections,55.00
Wall Hanging Plate,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/AE15Q1MNum9fiCAF6D9KxjB9lQcmjnneQtPjcXyh-removebg-preview.png?v=1771904153,Plates & Platters,Other Collections,50.00
Blue Pottery Rice Dish,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/rice-dish-small-2.jpg?v=1771904132,Plates & Platters,Blue Pattern,44.00
Blue Pottery Square Dish,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/artcitihome-blue-pottery-square-d1-dish-a.jpg?v=1771904128,Plates & Platters,Blue Pattern,38.00
Traditional Wall Decor Plates Set,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/Best-Wall-Hanging-Plate.jpg?v=1771904120,Plates & Platters,Other Collections,107.60
Blue Pottery Wall Hanging Plates Set,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/Handmade-Multani-Blue-Pottery-Wall-Decor-removebg-preview.png?v=1771904115,Plates & Platters,Blue Pattern,100.00
Blue Felicity Serving Dish,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/20241211_164524_2.jpg?v=1771904113,Plates & Platters,Blue Pattern,32.00
Blue Celico Mini Dish,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/20241212_132102_1.jpg?v=1771904107,Plates & Platters,Blue Pattern,10.18
Blue Celico Square Small Dish,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/20241212_132014_1.jpg?v=1771904106,Plates & Platters,Blue Pattern,42.00
Blue Felicity Flat Dish,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/20241212_134921_1.jpg?v=1771904097,Plates & Platters,Blue Pattern,34.00
Plate,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/136MLSB5WYVGhl1OGSWTIXFfwDWxGO3sis0TB97L-removebg-preview.png?v=1771904050,Plates & Platters,Other Collections,30.00
Dinner Plate,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/szjyuqLn4pWdkhC5VXDpuDW1Gtgar6TpoLBJZfw6-removebg-preview.png?v=1771904022,Plates & Platters,Other Collections,30.00
Blue Pattern Medium Serving Dish,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/B62449F4-499D-4D48-8980-E399C85945C7_1.jpg?v=1771903991,Plates & Platters,Blue Pattern,50.00
Breeze Blue Quarter Plate,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/EBC7FEF4-EE5F-4FC5-BACC-5BD46B68B888.jpg?v=1771903987,Plates & Platters,Blue Pattern,38.00
Ocean Night Medium Square Dish,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/625679D0-3F75-463A-9016-293973EFD1DA.jpg?v=1771903982,Plates & Platters,Other Collections,48.00
Ocean Blue Large Square Dish,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/C8E71ECC-607B-4D62-8ECB-354385F62C59.jpg?v=1771903980,Plates & Platters,Blue Pattern,48.00
Ocean Blue Large Pizza Platter,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/E4B6DF65-0B61-4F31-8EB7-BEB86C69505C.jpg?v=1771903979,Plates & Platters,Blue Pattern,50.00
Ocean Blue Deep Pizza Platter,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/47A097DA-0D3F-4748-BDAE-D653260AF92F.jpg?v=1771903978,Plates & Platters,Blue Pattern,60.00
Ocean Blue Deep Serving Dish,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/F20D7771-50B6-4C6E-85D1-6196310B9345.jpg?v=1771903976,Plates & Platters,Blue Pattern,60.00
Urban Blue Large Serving Dish,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/0FC56120-91AE-4495-8077-58393E650C59.jpg?v=1771903970,Plates & Platters,Blue Pattern,60.00
Blue Flower Big Round Platter,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/IMG_4480_e806b099-6b29-4739-b62e-ea8c8a520d81.png?v=1771903968,Plates & Platters,Blue Pattern,28.00
Blue Pattern Dinner plate,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/D061405E-4E93-44C8-BD1D-643B3C4625B7_1.jpg?v=1771903967,Plates & Platters,Blue Pattern,50.00
Serina Blue Dinner Plate,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/plates-platters-serina-blue-dinner-plate-28259273670738.jpg?v=1771903966,Plates & Platters,Blue Pattern,34.00
Breeze Blue Quarter Plate,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/EBC7FEF4-EE5F-4FC5-BACC-5BD46B68B888_1.jpg?v=1771903965,Plates & Platters,Blue Pattern,30.00
Blue Flower Quarter Plate,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/EBC7FEF4-EE5F-4FC5-BACC-5BD46B68B888_1_e834d358-132d-47c8-977f-9dd23d00a0b9.jpg?v=1771903965,Plates & Platters,Blue Pattern,55.00
Multi Flower Quarter Plate,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/198C05C2-454F-4461-9E5C-D0AA10684FDC_1.jpg?v=1771903964,Plates & Platters,Other Collections,28.00
Blue Pattern Quarter Plate,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/54579BB5-810D-4A3A-B500-518E7B9BB84D_1.jpg?v=1771903962,Plates & Platters,Blue Pattern,48.00
Special Large Platter Calligraphy V,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/F44A127F-BABE-4B17-AC96-B847CCADAE7C.jpg?v=1771903962,Plates & Platters,Other Collections,60.00
Blue Pattern Oval Dish,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/9198B970-B4F5-4840-93F0-A1205C17184C.jpg?v=1771904442,Serving Dishes,Blue Pattern,48.00
Blue Pattern Small Serving Dish,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/3B0FB537-9E28-4B0F-B37E-ABFB33D4AB42.jpg?v=1771904442,Serving Dishes,Blue Pattern,44.00
Kashmir Multi Medium Rectangle Dish,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/6B441C03-A362-42F4-9FB4-737E0F88CF57.jpg?v=1771904437,Serving Dishes,Other Collections,48.00
Multi Flower Oval Dish,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/C4526683-7A70-40E9-BC8B-7F0A3D46A74B.jpg?v=1771904433,Serving Dishes,Other Collections,14.27
New Multi Square Dish - Medium,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/A604AF81-3583-4ACC-8991-0E891B4EE662.webp?v=1771904430,Serving Dishes,Other Collections,48.00
Blue Flower Salad Dish,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/IMG_4792.jpg?v=1771904425,Serving Dishes,Blue Pattern,35.00
Handmade Ceramic Floral Bread Dish (BC),https://cdn.shopify.com/s/files/1/0864/7006/6210/files/DeWatermark.ai_1741626890224-removebg-preview.png?v=1771904406,Serving Dishes,Other Collections,48.00
White Floral Kebab/Salad Serving Dish|Blue Pottery,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/rn-image_picker_lib_temp_68eafa1f-7a58-45da-a741-d31e5065d86d-removebg-preview.png?v=1771904370,Serving Dishes,Blue Pattern,40.00
Fruit Dish,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/21q.png?v=1771904363,Serving Dishes,Other Collections,48.00
Handi,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/20a.png?v=1771904362,Serving Dishes,Other Collections,17.74
Butter Dish,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/16g.png?v=1771904359,Serving Dishes,Other Collections,45.00
Floral White kebab Dish(Long)|Blue Pottery,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/rn-image_picker_lib_temp_f6ff802d-f7d8-4423-b8d1-eaaa10986afe-removebg-preview.png?v=1771904353,Serving Dishes,Blue Pattern,34.00
Iconic Blue Medium Round Serving dish|Blue pottery,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/rn-image_picker_lib_temp_084e0083-4d1a-4425-932b-c45cf3d91225_200x200-removebg-preview.png?v=1771904331,Serving Dishes,Blue Pattern,21.22
Iconic Blue Medium Square Serving dish|Blue pottery,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/Photoroom-20240604-111932-removebg-preview.png?v=1771904330,Serving Dishes,Blue Pattern,40.00
Set of Two Iconic Blue Round Serving dish|Blue pottery,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/rn-image_picker_lib_temp_72b02469-06ee-41e6-a0ad-967b1fec1785-removebg-preview.png?v=1771904330,Serving Dishes,Blue Pattern,48.00
