Title,Handle,Price,Original_Price,Category,Image_URL
Bowl Set (BC-I),bowl-set-bc-i,120.00,,Home & Garden > Kitchen & Dining > Tableware > Dinnerware > Bowls,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/rn-image_picker_lib_temp_f63321f4-3d73-426d-8...
Handmade Ceramic Square Plate (MC-1),handmade-ceramic-square-plate-mc-1,44.00,,Home & Garden > Kitchen & Dining > Tableware > Dinnerware > Plates,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/59_7e23cc98-94be-42fd-acba-71eb3bca63fc-remov...
Handmade Ceramic Square Plate (MC-3),handmade-ceramic-square-plate-mc-3,40.00,,Home & Garden > Kitchen & Dining > Tableware > Dinnerware > Plates,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/55-removebg-preview_c3e4c314-0faa-4a3a-9773-b...
Handmade Floral Petals Dinner Plate (MC),handmade-floral-petals-dinner-plate-mc,30.00,,Home & Garden > Kitchen & Dining > Tableware > Dinnerware > Plates,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/49_06acf6e6-2f9d-4dd4-96aa-ed90c968d0f8-remov...
Handmade Ceramic Floral Bread Dish (BC),handmade-ceramic-floral-bread-dish-bc,48.00,,Home & Garden > Kitchen & Dining > Tableware > Serveware,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/DeWatermark.ai_1741626890224-removebg-preview...
Handmade Ceramic Floral Dinner Plate (MC-10),handmade-ceramic-floral-dinner-plate-mc-10,38.00,,Home & Garden > Kitchen & Dining > Tableware > Dinnerware > Plates,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/64_0d87a30a-ce23-48b3-819d-b17186f9c9dc-remov...
Handmade Ceramics Curry Bowl with Lid,handmade-ceramics-curry-bowl-with-lid,50.00,,Home & Garden > Kitchen & Dining > Tableware > Dinnerware > Bowls,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/1_0039_tevtashahdraprodcuts0387-removebg-prev...
Pizza Plate (Large),pizza-plate-large,42.00,,Home & Garden > Kitchen & Dining > Tableware > Dinnerware > Plates,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/1_0038_tevtashahdraprodcuts0422-removebg-prev...
Handcrafted Decorative Plate (04 Compartments),handcrafted-decorative-plate-04-compartments,50.00,,Home & Garden > Decor > Decorative Plates,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/1_6b224590-a315-426c-814d-fddee5cfdf29-remove...
Handmade Midnight Blossoms Table Lamp (BC-M),handmade-midnight-blossoms-table-lamp-bc-m,54.00,,Home & Garden > Lighting > Lamps > Table Lamps,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/14_62ef58bd-4ce3-4323-bb3c-4a1cf1e50f52-remov...
Ceramic Box Table Lamp Base,ceramic-box-table-lamp-base,38.00,,Home & Garden > Lighting > Lamps > Table Lamps,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/57_0bdadab2-b69f-49e3-99b2-eeaaeab5bdf3-remov...
Ceramic Floral Table Lamp Base,ceramic-floral-table-lamp-base,60.00,,Home & Garden > Lighting > Lamps > Table Lamps,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/58-removebg-preview_5fde649d-50f5-46ed-8c8d-1...
Ceramics Floral Tea Set (MC-II),ceramics-floral-tea-set-mc-ii,100.00,,Home & Garden > Kitchen & Dining > Tableware > Coffee & Tea Sets > Tea Sets,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/WhatsAppImage2025-02-08at14.44.46-removebg-pr...
Ceramics Red Tea Set,ceramics-red-tea-set,100.00,,Home & Garden > Kitchen & Dining > Tableware > Coffee & Tea Sets > Tea Sets,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/IMAGE-EDIT_c0363bb1-8f67-42d4-90c5-4bd754e96b...
eramics Floral Tea Set (YC),eramics-floral-tea-set-yc,100.00,,Home & Garden > Kitchen & Dining > Tableware > Coffee & Tea Sets > Tea Sets,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/30-removebg-preview_7d1f8b3c-7938-4a8a-b714-6...
